,Dem_age,Dem_gender,Country,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_Lon_1,Scale_Lon_2,Scale_Lon_3,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,PSS10_avg,Lon_avg,SPS_avg
118,18,Female,United States,2,1,2,4,4,2,5,3,1,2,1,1,2,7,8,7,5,6,7,2,2,2,5,5,6,5,4,1,4,1,1.8,1.333333333,5.7
225,20,Female,United States,3,2,3,3,4,3,4,3,4,3,4,3,4,5,4,4,NA,3,NA,6,6,6,6,6,5,6,6,3,1,3,2.8,3.666666667,5.1
338,21,Female,United States,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,5,4,5,3,5,5,5,5,5,5,4,5,5,2,4,3.1,3,4.8
341,21,Male,United States,2,2,4,5,4,3,5,3,3,4,2,3,5,6,6,6,7,7,7,5,6,5,6,5,5,5,5,3,3,2,2.5,3.333333333,5
351,21,Female,United States,2,4,5,3,1,4,3,3,1,2,3,1,3,8,8,7,2,10,4,1,1,1,5,6,6,5,3,5,3,1,3.2,2.333333333,5.222222222
356,65,Female,United States,2,3,1,5,4,2,4,4,2,1,1,1,3,8,9,9,9,4,9,5,5,5,3,4,5,5,5,5,4,4,1.8,1.666666667,5
375,23,Female,United States,4,4,4,2,3,4,2,2,4,4,3,3,3,1,1,3,3,8,2,5,5,5,5,5,4,5,5,3,5,2,3.9,3,5.1
378,23,Female,United States,3,3,4,4,2,2,3,4,3,2,3,2,4,1,3,3,6,4,5,3,4,4,4,4,5,4,3,4,2,1,2.8,3,5.4
466,36,Female,United States,4,4,5,3,2,5,2,4,5,4,5,3,5,4,5,6,3,5,2,4,5,3,5,5,6,5,5,6,4,6,4,4.333333333,5.5
468,37,Female,United States,3,2,4,3,3,3,3,3,4,3,1,3,3,0,9,7,10,7,0,6,6,6,6,6,6,5,5,2,2,2,3.1,2.333333333,4.6
470,61,Female,United States,1,2,1,5,5,1,5,5,2,1,1,1,2,5,7,7,9,6,4,3,3,3,5,5,5,5,5,1,3,4,1.2,1.333333333,5.7
473,37,Female,United States,3,2,3,3,2,2,3,4,2,2,1,2,2,4,4,4,3,4,1,4,4,4,6,6,6,5,5,4,5,3,2.6,1.666666667,5.9
477,66,Female,United States,3,3,3,4,3,3,4,4,3,2,1,2,2,6,8,8,7,5,8,6,6,6,6,6,5,6,5,4,1,5,2.6,1.666666667,5.8
478,23,Female,United States,2,2,2,4,3,2,3,3,1,3,4,2,4,6,6,5,9,9,7,5,6,5,6,6,4,4,3,3,4,3,2.3,3.333333333,3.6
479,21,Female,United States,3,4,4,4,3,2,3,2,3,3,3,4,5,6,8,5,8,7,8,4,5,4,4,4,4,5,3,4,2,2,3.1,4,4.4
480,22,Male,United States,1,2,2,4,3,1,5,4,1,1,1,1,2,1,3,3,7,7,1,1,4,6,5,4,6,4,4,1,3,2,1.6,1.333333333,6
482,27,Female,United States,4,5,5,3,3,3,4,3,4,3,2,3,5,1,6,6,4,1,5,5,5,5,2,2,5,5,5,3,3,6,3.5,3.333333333,NA
483,24,Female,United States,4,4,5,3,2,4,3,3,4,3,4,3,3,7,9,7,9,9,6,5,4,4,5,5,5,6,6,4,4,3,3.7,3.333333333,5.5
486,23,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,18,Female,United States,2,2,3,4,3,2,3,3,3,2,3,1,2,1,4,4,6,10,1,5,6,4,4,4,6,6,5,1,2,6,2.5,2,5.8
492,19,Female,United States,3,4,5,4,2,5,3,4,5,2,2,1,3,2,7,5,0,0,3,6,6,5,5,5,4,4,3,3,3,4,3.5,2,5.5
494,24,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,30,Female,United States,4,4,5,3,2,3,2,3,5,4,3,4,4,4,4,6,6,7,4,6,6,6,6,6,5,5,5,6,4,4,3.9,3.666666667,5.5
500,26,Female,United States,4,2,5,4,3,3,3,4,5,2,4,3,3,3,5,5,6,6,2,5,6,5,4,4,4,5,5,2,2,4,3.1,3.333333333,4.2
509,25,Male,United States,3,4,4,3,3,4,4,2,3,3,5,3,4,0,7,NA,6,10,0,4,5,4,6,5,6,5,5,5,2,3,3.3,4,5.1
511,29,Female,United States,3,3,5,3,3,3,3,4,2,4,3,3,4,5,4,5,5,9,2,4,6,6,6,6,6,6,6,2,3,3,3.1,3.333333333,5.9
513,23,Male,United States,1,1,3,4,4,3,4,4,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.888888889,1.333333333,NA
518,23,Female,United States,3,2,3,4,3,3,4,3,2,2,3,3,4,4,6,6,9,10,3,3,3,2,6,6,5,4,5,2,4,2,2.5,3.333333333,5.9
593,31,Male,United States,3,1,2,5,1,1,5,5,2,1,1,1,3,8,8,2,2,5,9,2,5,4,5,6,5,5,3,1,4,2,1.8,1.666666667,6
839,37,Female,United States,2,3,3,4,2,2,3,3,3,2,5,3,3,9,8,8,8,8,7,6,6,6,6,6,5,6,5,4,5,4,2.7,3.666666667,6
955,69,Female,United States,3,3,3,4,3,3,4,3,4,3,3,3,3,0,5,0,0,7,0,5,5,5,6,6,6,6,6,1,4,2,2.9,3,6
977,26,Female,United States,3,4,3,3,2,4,2,3,2,2,2,4,3,7,6,6,5,6,4,5,5,5,4,5,4,5,5,2,2,2,3.2,3,5.8
1446,44,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1520,43,Female,United States,3,1,1,5,4,2,5,4,1,1,1,1,2,0,2,1,2,9,0,5,5,5,5,5,6,5,6,1,2,5,1.5,1.333333,5.4
1904,84,Female,United States,1,4,3,5,4,1,5,5,1,1,2,1,3,3,5,9,7,9,3,4,4,4,4,3,6,6,4,1,5,1,1.6,2,5.4
2145,32,Female,United States,2,3,3,4,4,5,3,2,2,2,4,2,3,5,5,6,8,6,7,6,6,6,6,6,5,5,5,5,5,2,2.8,3,4.6
2153,70,Female,United States,3,1,2,5,3,2,4,3,2,2,1,3,3,5,5,5,7,7,2,4,4,4,5,5,5,5,4,2,4,4,2.1,2.333333,4
2159,80,Female,United States,1,2,1,1,2,1,5,5,2,1,1,1,1,1,6,7,7,9,1,6,5,6,6,6,6,6,1,1,3,2,1.9,1,4.2
2197,73,Female,United States,1,3,2,5,4,2,4,4,2,1,3,3,3,7,8,8,7,8,1,4,5,5,6,6,5,5,5,1,2,5,1.8,3,5.5
2220,48,Male,United States,2,1,1,5,4,1,5,5,3,2,1,1,3,3,7,7,5,8,1,3,3,5,6,6,5,6,5,1,3,1,1.5,1.666667,4.6
2290,66,Female,United States,2,2,2,5,4,2,5,5,2,1,2,3,2,6,9,8,9,2,8,5,6,5,5,5,6,6,6,3,4,2,1.6,2.333333,5.9
2313,75,Female,United States,3,2,4,4,2,2,4,3,1,3,3,2,4,6,7,7,7,8,2,5,5,5,6,6,4,5,5,1,5,3,2.6,3,4.8
2560,38,Female,United States,3,3,5,3,2,4,3,2,3,5,3,4,5,5,5,6,4,7,5,5,5,5,6,6,5,5,6,5,4,3,3.7,4,5.1
2586,35,Female,United States,2,1,2,5,4,1,5,5,1,1,1,1,1,5,5,6,7,10,4,5,6,5,5,5,5,6,6,2,3,2,1.3,1,5.9
2832,37,Male,United States,3,3,4,3,3,2,3,3,4,2,3,4,4,5,7,7,8,9,3,4,4,5,6,6,6,4,5,4,4,4,3,3.666667,5
2848,51,Male,United States,4,3,4,3,3,2,3,3,4,3,3,2,2,3,5,6,6,7,2,5,5,5,5,5,4,5,5,2,3,2,3.2,2.333333,NA
2863,41,Female,United States,3,1,2,5,4,1,4,5,3,2,3,2,3,1,2,3,0,5,0,4,5,6,6,6,6,5,5,1,1,2,1.8,2.666667,6
2979,54,Female,United States,2,3,3,4,4,1,4,4,2,2,2,2,2,1,8,6,9,9,1,3,4,4,5,5,5,5,6,4,5,4,2.1,2,5.9
3111,46,Female,United States,5,2,5,4,3,4,2,3,5,2,1,4,4,0,2,2,5,9,0,1,1,5,6,6,5,6,5,1,2,4,3.5,3,5.3
3153,69,Male,United States,1,2,3,5,5,2,5,4,3,1,3,2,3,2,2,7,9,NA,2,6,6,6,6,6,5,6,6,5,4,2,1.7,2.666667,6
3195,53,Female,United States,2,2,1,5,3,1,4,3,4,1,2,2,4,2,7,5,9,1,7,2,2,2,1,2,6,5,4,2,5,2,2,2.666667,6
3196,30,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3199,29,Female,United States,4,3,4,3,2,4,3,2,4,4,5,4,5,1,1,4,2,7,2,5,5,5,6,6,4,4,5,2,2,2,3.7,4.666667,5.4
3200,29,Female,United States,3,5,5,4,3,3,3,3,3,2,3,2,5,0,0,2,2,4,0,6,6,6,6,6,5,5,5,2,1,2,3.2,3.333333,5.1
3203,28,Female,United States,3,4,4,3,2,4,2,2,3,4,4,2,5,0,0,2,0,8,0,5,6,5,5,5,5,5,5,1,2,5,3.7,3.666667,4.1
3206,50,Female,United States,3,4,5,3,3,3,4,3,5,3,1,1,1,5,6,8,8,10,2,5,6,5,6,6,6,6,6,2,5,4,3.4,1,6
3208,50,Female,United States,3,3,2,3,3,3,3,3,3,3,5,3,5,2,7,7,3,6,2,2,3,2,5,5,5,2,2,5,2,4,2.9,4.333333,4.7
3209,18,Female,United States,4,3,5,3,4,4,4,3,4,3,3,3,3,9,9,9,9,5,9,5,6,4,4,6,6,6,6,4,6,3,3.3,3,5.8
3213,49,Female,United States,5,5,5,3,2,5,3,2,5,5,5,5,5,NA,4,6,8,8,NA,6,6,5,6,6,6,6,6,3,4,6,4.4,5,5.8
3290,22,Other/would rather not say,United States,5,4,5,2,2,4,3,2,5,3,3,5,5,NA,NA,NA,NA,NA,NA,6,6,6,5,4,4,5,5,4,1,5,4.1,4.333333,3.1
3676,29,Male,United States,4,4,5,3,3,4,3,2,5,4,4,4,5,2,2,3,6,7,1,6,6,6,6,6,6,5,5,2,2,1,3.9,4.333333,3
3887,19,Male,United States,4,4,5,3,2,4,3,2,4,4,5,5,5,0,0,NA,NA,9,NA,2,6,6,6,6,5,3,2,4,1,2,3.9,5,NA
3998,50,Female,United States,2,NA,2,4,4,2,5,NA,NA,2,2,2,3,1,2,6,8,5,1,3,3,3,3,3,5,4,5,4,4,2,1.857143,2.333333,5.4
4052,55,Female,United States,5,4,4,2,1,4,2,4,3,5,3,3,3,0,3,4,0,10,0,5,5,5,4,4,5,5,6,2,3,4,4,3,4.8
4072,60,Female,United States,2,1,1,1,5,1,5,5,2,1,1,1,3,5,7,5,8,8,2,6,6,6,6,6,6,6,5,2,5,1,1.6,1.666667,6
4080,77,Female,United States,3,2,3,5,5,3,5,5,2,2,4,3,3,1,6,6,6,7,1,6,6,6,6,6,6,6,6,5,5,4,1.9,3.333333,5.8
4122,33,Female,United States,3,3,4,2,2,3,3,3,3,2,2,2,3,4,5,5,5,9,1,4,5,3,3,5,5,4,5,4,3,4,3.2,2.333333,3.6
4155,37,Male,United States,2,1,3,5,5,1,4,5,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,1,NA
4411,56,Male,United States,1,1,2,5,3,1,4,4,2,1,3,2,3,2,6,1,6,3,7,2,4,4,6,6,4,5,6,1,2,2,1.6,2.666667,5.1
4639,26,Male,United States,3,5,5,3,3,4,2,3,4,4,3,2,3,5,5,5,9,5,2,5,5,5,5,4,4,4,5,4,3,4,3.8,2.666667,3.6
4755,26,Female,United States,3,4,4,3,2,2,4,1,3,3,3,4,4,8,9,6,9,7,9,3,5,6,5,6,6,6,5,3,4,1,3.3,3.666667,5.1
4809,31,Male,United States,3,1,1,5,3,3,2,4,4,1,1,2,4,9,10,9,10,8,10,1,4,2,6,6,1,1,6,4,5,1,2.3,2.333333,5.9
4904,31,Male,United States,2,3,2,4,3,3,4,3,1,2,4,2,3,2,2,2,2,1,3,5,6,5,6,6,5,3,4,4,2,2,2.3,3,5.7
4937,60,Female,United States,1,3,3,4,3,3,5,3,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2,NA
5118,63,Female,United States,2,2,2,5,4,2,4,5,1,2,2,2,2,7,8,7,6,7,6,5,5,5,5,5,5,5,5,3,3,2,1.7,2,5
5177,49,NA,United States,2,2,3,3,3,2,3,3,4,2,3,3,4,0,5,4,4,4,1,5,6,6,6,5,6,6,6,6,6,4,2.7,3.333333,6
5230,36,Female,United States,3,4,4,3,3,3,3,3,3,3,1,2,5,5,5,5,7,7,8,2,6,5,5,5,4,5,5,2,2,2,3.2,2.666667,5.6
5231,76,Female,United States,2,1,2,5,5,1,5,5,3,2,1,1,2,6,7,8,4,7,3,4,4,5,4,4,5,5,5,2,5,2,1.5,1.333333,5.888889
5242,27,Female,United States,2,3,2,4,3,2,4,3,5,2,2,1,4,8,9,7,9,7,6,6,6,4,3,6,6,5,5,3,4,4,2.6,2.333333,NA
5254,40,Female,United States,5,3,5,3,3,5,3,2,3,4,3,3,3,1,0,2,0,7,1,4,4,6,6,6,5,5,5,6,6,1,3.8,3,5.4
5340,27,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5603,38,Male,United States,2,3,4,3,3,3,3,2,4,1,1,4,3,2,8,8,9,4,1,5,6,4,5,5,5,5,5,4,2,2,3,2.666667,5.3
6010,29,Female,United States,2,1,1,5,4,2,5,4,1,1,4,2,4,5,7,5,5,8,5,2,5,4,5,5,5,6,5,5,6,3,1.4,3.333333,5.1
7398,55,Other/would rather not say,United States,3,3,3,4,3,3,4,3,3,3,2,3,4,7,8,7,8,6,6,2,3,3,3,4,5,5,5,4,3,2,2.8,3,5
7420,39,Female,United States,2,3,3,5,4,2,4,4,3,1,2,2,2,3,7,7,8,10,1,5,5,5,6,5,6,6,6,4,3,3,2.1,2,5.7
7431,68,Female,United States,3,3,3,4,3,2,4,3,2,3,2,2,3,NA,3,7,1,8,NA,5,5,4,6,6,6,6,6,1,3,5,2.6,2.333333,4.333333
7441,38,Female,United States,2,3,5,4,2,2,4,5,5,2,3,3,5,5,5,5,5,5,7,6,6,6,6,6,5,6,6,4,4,4,2.8,3.666667,5.6
7452,45,Male,United States,2,4,3,4,3,3,4,4,3,2,3,3,3,6,8,8,6,7,6,4,5,4,4,5,4,6,5,3,2,3,2.6,3,4.8
7532,34,Female,United States,2,3,3,5,3,2,5,4,2,1,3,3,3,5,6,7,7,7,3,5,5,5,6,6,5,6,6,6,5,3,2,3,5.7
7652,27,Female,United States,3,3,4,2,2,4,3,3,3,3,3,3,3,2,2,2,0,2,0,3,3,3,4,4,4,3,2,3,3,3,3.4,3,4.6
8053,85,Male,United States,2,2,2,5,4,2,2,2,3,2,5,2,2,3,8,6,7,8,2,6,6,6,6,6,6,5,6,6,5,4,2.4,3,5.8
8121,28,Female,United States,3,4,2,3,3,3,3,2,4,3,4,4,3,4,5,5,3,4,4,5,6,6,5,4,5,6,6,3,4,4,3.2,3.666667,5.4
8201,64,Female,United States,3,3,3,4,3,2,4,4,2,3,3,4,3,8,8,9,7,7,7,5,5,4,5,5,4,5,4,3,5,4,2.5,3.333333,4.7
8203,48,Female,United States,3,3,3,3,3,2,4,3,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,3.333333,NA
8214,68,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8391,58,Female,United States,2,3,3,4,2,4,NA,3,1,NA,4,4,4,1,5,3,6,6,2,6,6,5,5,3,3,6,5,2,3,1,2.75,4,3.6
8477,73,Female,United States,4,2,2,5,5,2,5,4,2,2,3,1,2,8,9,10,7,7,4,5,5,5,5,5,5,5,5,2,5,2,1.9,2,5.5
8499,32,Female,United States,4,5,5,3,3,5,2,2,5,5,4,2,5,1,3,4,5,9,6,4,6,5,6,6,6,6,1,1,2,1,4.3,3.666667,5.9
8513,41,Female,United States,3,5,5,2,3,3,3,4,3,5,5,5,5,2,8,5,3,8,3,3,5,5,6,6,6,5,5,2,2,2,3.6,5,4.3
8524,20,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8567,24,Female,United States,3,3,3,4,4,3,3,2,4,3,2,3,5,6,5,5,5,NA,6,4,5,4,4,6,5,5,5,4,4,5,3,3.333333,NA
8578,77,Female,United States,3,2,2,4,5,2,5,4,2,1,1,1,2,8,8,8,10,9,NA,4,4,4,6,6,5,6,5,2,4,1,1.8,1.333333,5.3
8580,47,Female,United States,2,3,2,4,3,2,4,4,1,2,1,2,2,3,4,5,5,5,4,5,6,6,5,5,5,5,5,2,3,5,2.1,1.666667,4.7
8605,52,Male,United States,3,2,4,4,2,2,4,3,3,2,2,3,2,1,2,5,3,5,0,5,6,6,6,6,5,4,5,2,3,3,2.7,2.333333,4.8
8609,64,Female,United States,2,2,2,5,5,2,5,4,1,2,2,2,3,5,7,7,6,10,2,5,5,4,5,5,6,5,5,4,4,1,1.6,2.333333,4.7
8637,41,Female,United States,2,2,4,4,3,3,4,3,2,4,1,1,4,4,7,7,6,7,5,5,5,5,5,5,5,5,5,4,4,3,2.7,2,4.6
8643,68,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8652,55,Female,United States,3,4,4,4,3,2,5,1,5,4,2,5,5,1,0,2,2,4,0,6,6,6,6,6,5,6,6,1,4,1,3.3,4,5.9
8658,82,Female,United States,3,2,3,5,4,1,4,4,2,1,1,1,1,0,10,10,10,9,0,5,6,6,6,6,6,6,6,1,4,2,1.9,1,5.8
8666,75,Female,United States,3,3,3,4,4,2,5,5,2,1,1,2,2,1,3,5,5,9,0,6,6,6,6,6,6,6,5,2,3,5,2,1.666667,5.9
8676,73,Female,United States,2,2,1,5,4,2,5,5,1,1,1,1,2,2,7,9,3,7,1,5,5,5,5,5,6,6,6,2,5,5,1.4,1.333333,5.9
8677,59,Male,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8701,50,Female,United States,2,1,3,4,4,2,4,4,2,2,3,3,4,8,9,8,9,6,9,4,4,4,4,4,5,5,5,3,3,2,2,3.333333,4
8704,48,Female,United States,3,4,3,3,3,2,2,3,4,2,2,2,3,5,8,7,8,7,5,5,5,5,5,5,5,6,6,2,5,2,3.1,2.333333,NA
8706,63,Male,United States,3,3,4,4,3,2,4,3,2,2,4,3,3,5,7,8,6,NA,3,3,4,4,3,4,5,5,5,2,4,3,2.6,3.333333,3.8
8721,64,Female,United States,4,5,4,5,3,4,5,3,1,3,2,1,4,0,7,7,0,8,0,5,5,5,6,6,6,6,6,1,3,4,2.9,2.333333,6
8724,61,Female,United States,1,1,1,5,4,1,5,4,1,1,2,1,3,3,8,8,9,8,3,5,5,5,4,4,6,6,5,1,3,2,1.2,2,5
8731,42,Female,United States,2,3,5,4,4,2,3,5,1,2,1,1,1,1,4,4,1,10,0,6,6,6,6,6,6,6,6,2,1,6,2.3,1,5.8
8748,48,Female,United States,2,3,3,4,2,2,3,3,3,2,3,2,4,7,7,7,8,6,7,5,5,5,5,5,5,4,5,3,5,3,2.7,3,5
8760,43,Male,United States,1,1,1,5,3,1,5,4,2,1,1,1,1,4,5,7,4,8,4,4,4,4,6,6,5,5,5,2,5,1,1.4,1,5
8808,69,NA,United States,4,3,1,5,3,1,5,5,4,1,1,3,1,0,8,0,0,9,0,3,5,4,5,5,5,6,6,1,2,6,2,1.666667,5.666667
8810,63,Female,United States,4,4,4,3,3,3,4,3,4,2,4,4,4,3,6,7,7,9,1,6,6,6,6,6,5,6,6,1,4,5,3.2,4,5.1
8823,62,Female,United States,3,2,3,5,4,2,4,5,3,1,1,1,1,2,4,7,6,7,2,3,3,3,3,3,6,5,5,2,2,4,2,1,6
8840,47,Female,United States,2,3,4,3,3,3,4,3,3,2,5,5,5,1,1,6,1,10,0,5,2,2,6,6,5,2,2,2,3,4,2.8,5,4.7
8841,39,Female,United States,1,2,2,1,1,3,3,2,2,3,1,1,4,7,7,7,7,8,8,5,3,3,5,5,6,5,5,2,4,1,3,2,5.3
8843,78,Male,United States,2,2,2,5,2,1,5,5,1,1,1,2,4,NA,NA,8,7,8,1,6,6,6,6,6,5,5,6,2,4,2,1.6,2.333333,5.4
8844,20,Female,United States,4,3,3,3,3,3,3,3,4,3,3,4,3,2,NA,3,4,7,2,5,5,5,5,5,5,5,5,3,4,2,3.2,3.333333,NA
8846,68,Female,United States,3,5,5,4,4,4,3,1,5,3,3,5,5,NA,5,5,6,6,NA,5,5,5,6,6,5,5,6,3,4,4,3.7,4.333333,4.8
8855,51,Female,United States,3,3,4,3,3,3,3,2,3,3,1,1,4,1,3,4,3,3,0,5,5,5,5,6,5,5,6,2,3,4,3.2,2,5.4
8875,69,Female,United States,2,4,4,3,3,3,3,3,4,3,5,4,5,1,4,9,5,8,2,5,5,5,6,6,5,4,5,2,3,4,3.2,4.666667,5.6
8879,66,Female,United States,3,2,3,5,4,1,5,4,3,1,2,2,3,5,8,9,5,7,1,4,5,5,5,5,5,5,5,4,3,3,1.9,2.333333,5.7
8888,63,Female,United States,3,2,3,4,3,1,4,5,4,1,1,1,2,4,9,8,2,8,1,5,6,5,6,6,6,6,6,1,5,2,2.2,1.333333,5.8
8892,54,Male,United States,1,3,3,3,3,3,1,3,1,3,4,4,3,10,9,8,8,6,10,4,5,5,5,3,6,6,6,6,6,6,2.8,3.666667,4
8903,27,Female,United States,2,4,5,2,2,5,3,1,3,5,4,3,4,3,8,6,8,6,2,3,6,5,4,4,4,5,4,2,2,3,4,3.666667,5.4
8965,51,Female,United States,4,2,3,4,3,3,4,4,5,2,2,2,3,1,1,5,1,8,1,5,6,6,5,5,4,5,5,3,4,4,2.8,2.333333,5.8
8972,61,Female,United States,4,5,5,3,2,4,2,3,5,3,2,3,3,5,5,5,4,9,4,5,5,5,5,5,3,4,3,2,5,1,4,2.666667,5
8980,44,Female,United States,3,4,5,4,3,2,3,4,4,2,4,3,4,1,2,3,4,7,1,6,6,6,6,5,6,5,5,2,4,4,3,3.666667,5.8
8982,66,Female,United States,2,3,3,5,3,2,5,3,2,3,2,2,2,3,3,5,5,7,2,6,5,5,5,5,5,5,4,1,3,2,2.3,2,5
8985,53,Female,United States,3,3,5,4,3,4,1,3,4,1,1,1,1,4,5,5,5,5,3,4,5,5,5,5,6,3,4,1,1,4,3.3,1,4.6
8992,68,Female,United States,1,1,1,5,5,1,5,5,1,1,1,1,1,10,10,10,10,5,10,4,4,4,4,4,5,6,5,2,5,3,1,1,5
9000,59,Female,United States,1,1,3,5,5,1,5,4,2,1,1,1,2,NA,NA,8,6,10,NA,5,5,5,5,5,5,5,5,5,2,2,1.4,1.333333,5.6
9082,35,Female,United States,3,2,4,5,4,3,4,4,4,2,2,3,3,4,2,5,4,6,1,4,6,5,6,6,5,6,6,4,4,6,2.5,2.666667,5.6
9149,74,Female,United States,4,2,3,5,3,2,4,4,3,2,1,2,3,4,8,8,8,8,0,5,5,5,6,6,5,5,5,2,4,4,2.4,2,4.7
9591,52,Female,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9594,38,Female,United States,2,2,3,5,5,2,5,5,2,2,2,1,3,7,8,6,5,6,6,2,2,2,4,5,5,5,5,2,5,4,1.7,2,NA
9620,22,Female,United States,3,2,2,5,4,3,4,3,3,2,2,2,1,10,10,9,8,1,10,5,4,3,3,3,4,4,3,2,1,3,2.3,1.666667,3.6
9621,50,Female,United States,4,1,5,4,4,4,4,4,3,3,2,1,2,0,2,1,0,2,4,6,6,6,5,5,6,5,5,1,4,4,2.8,1.666667,3.7
9649,24,Female,United States,3,5,5,3,3,4,2,1,5,4,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,4.333333,NA
9656,46,Male,United States,4,4,4,3,2,3,4,2,4,5,5,5,5,3,0,2,3,10,0,6,6,6,6,6,6,6,6,1,3,2,3.7,5,NA
9668,22,Female,United States,5,3,5,3,2,4,3,2,2,3,4,4,4,0,2,4,0,9,0,4,5,4,5,6,5,5,5,1,1,4,3.6,4,5
9721,46,Female,United States,3,3,3,4,2,3,5,4,3,2,3,1,3,8,9,9,4,4,10,6,6,6,6,6,5,5,5,3,5,4,2.6,2.333333,5.4
9757,64,Female,United States,1,1,2,5,4,2,5,5,1,1,1,1,2,3,7,3,2,9,1,2,4,3,6,6,6,6,6,1,4,5,1.3,1.333333,5.5
9782,33,Male,United States,2,4,2,4,4,1,5,4,1,1,1,1,3,2,2,5,3,8,1,4,4,3,5,5,6,5,3,1,1,3,1.8,1.666667,4.9
9787,67,Female,United States,3,4,3,4,4,1,4,4,3,1,2,1,2,5,9,7,9,7,2,6,5,5,5,5,6,6,6,2,4,4,2.3,1.666667,5
9914,21,Female,United States,1,2,5,4,1,3,3,2,5,3,4,1,5,7,4,9,9,9,7,5,6,6,5,4,5,6,5,2,4,5,3.3,3.333333,5.9
9923,65,Female,United States,4,4,4,3,3,4,3,2,3,3,4,3,4,6,7,7,6,7,3,6,6,6,5,5,4,5,6,1,1,3,3.5,3.666667,4.3
9928,81,Male,United States,2,3,2,5,3,1,4,4,5,1,1,2,2,3,8,9,3,7,0,5,6,5,5,5,5,5,5,1,4,2,2.2,1.666667,5.5
9948,80,Female,United States,3,2,3,4,3,3,2,2,4,3,2,2,3,3,7,8,4,6,1,5,5,5,6,6,6,6,6,2,5,2,3.1,2.333333,6
9967,35,Male,United States,3,4,4,3,2,5,2,2,4,4,2,4,3,5,4,6,6,8,6,2,3,2,4,5,5,2,3,4,5,4,3.9,3,5.1
9978,52,Male,United States,3,2,2,4,3,3,4,4,2,2,1,1,2,0,7,6,5,3,7,6,6,5,5,4,6,6,6,1,5,3,2.3,1.333333,5.3
