,Dem_age,Dem_gender,Country,Scale_PSS10_UCLA_1,Scale_PSS10_UCLA_2,Scale_PSS10_UCLA_3,Scale_PSS10_UCLA_4,Scale_PSS10_UCLA_5,Scale_PSS10_UCLA_6,Scale_PSS10_UCLA_7,Scale_PSS10_UCLA_8,Scale_PSS10_UCLA_9,Scale_PSS10_UCLA_10,Scale_Lon_1,Scale_Lon_2,Scale_Lon_3,OECD_insititutions_1,OECD_insititutions_2,OECD_insititutions_3,OECD_insititutions_4,OECD_insititutions_5,OECD_insititutions_6,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,PSS10_avg,Lon_avg,SPS_avg
73499,49,Female,United States,3,2,4,4,3,2,4,3,2,2,5,1,4,3,7,7,7,8,2,5,6,5,5,5,6,6,6,1,6,2,2.5,3.333333,5.9
73520,39,Male,United States,4,4,4,3,3,2,4,3,2,4,1,1,1,6,7,6,3,6,6,6,6,6,6,5,6,6,6,2,4,4,3.1,1,5.4
73579,40,Female,United States,2,2,2,4,4,2,4,4,2,2,2,2,2,NA,3,5,5,10,NA,4,5,5,4,4,5,5,6,5,4,3,2,2,4.6
73584,44,Female,United States,4,4,5,3,3,4,3,3,5,3,2,4,5,1,3,7,7,9,NA,6,6,6,6,6,5,5,6,5,2,6,3.7,3.666667,6
73641,72,Female,United States,2,2,3,5,3,1,5,4,1,1,2,1,1,6,8,8,8,8,4,2,2,2,6,6,4,2,4,1,2,4,1.7,1.333333,NA
73642,74,Female,United States,3,4,3,4,3,1,5,3,3,2,5,2,1,2,8,7,7,7,1,6,6,6,6,6,5,5,6,4,5,3,2.5,2.666667,5.9
73656,49,Female,United States,3,3,4,4,4,2,3,3,3,3,2,2,3,3,8,8,10,9,7,6,5,6,6,6,5,5,6,3,5,3,2.8,2.333333,4.9
73712,45,Male,United States,3,2,4,4,2,3,4,2,3,2,2,3,3,5,6,6,6,5,3,5,5,5,6,4,4,6,6,3,3,2,2.9,2.666667,5.1
73729,20,Female,United States,4,3,5,3,3,4,3,3,4,4,3,4,4,2,2,NA,NA,6,2,4,5,4,6,6,5,5,6,4,5,6,3.6,3.666667,4.5
73768,25,Female,United States,1,3,5,3,3,4,5,2,3,2,2,4,5,4,1,7,5,7,2,6,6,6,4,4,3,6,5,1,4,6,2.9,3.666667,5.2
73875,45,Female,United States,4,4,5,3,2,3,3,2,4,3,4,5,4,2,6,7,5,6,2,6,6,6,6,6,2,5,6,1,2,1,3.7,4.333333,2.6
73968,23,Female,United States,5,4,5,3,2,4,3,3,5,5,5,3,5,4,4,4,3,10,5,4,6,5,5,5,5,6,6,2,2,1,4.1,4.333333,5.5
73985,32,Female,United States,2,4,5,3,2,3,3,3,5,3,1,1,3,NA,NA,NA,NA,6,NA,6,6,6,6,6,6,6,6,2,2,4,3.5,1.666667,4.9
74168,50,Male,United States,2,1,2,5,4,1,4,4,1,2,1,1,4,9,9,9,8,8,2,5,5,5,4,4,5,6,6,5,5,4,1.6,2,6
74189,56,Female,United States,2,3,4,5,1,2,4,3,1,1,3,1,4,4,5,7,10,10,1,4,5,5,6,6,4,5,5,3,2,1,2.4,2.666667,5.2
74194,43,Female,United States,4,4,5,4,2,3,4,2,2,3,4,4,5,1,1,6,3,10,1,6,5,5,6,6,5,6,6,1,1,4,3.3,4.333333,4.3
74207,31,Male,United States,3,5,4,3,2,3,2,2,3,3,3,2,4,1,4,4,7,4,6,6,6,6,6,6,1,1,1,1,1,4,3.6,3,5.7
74389,30,Female,United States,2,2,3,4,3,2,4,4,2,2,2,2,3,2,8,8,1,3,0,4,5,5,6,6,5,4,2,4,4,4,2.2,2.333333,NA
74679,30,Male,United States,2,2,2,3,4,2,4,3,3,3,2,3,2,2,9,5,6,9,5,4,5,4,5,5,5,3,5,2,3,4,2.4,2.333333,4.4
74703,56,Female,United States,3,4,3,3,2,4,3,2,4,4,5,3,4,1,1,1,1,0,3,4,NA,4,2,3,4,3,5,2,2,3,3.6,4,4.4
74805,43,Female,United States,3,2,4,4,4,2,3,4,3,3,2,2,1,1,3,3,3,4,2,5,6,5,5,5,5,6,6,1,3,4,2.6,1.666667,4.9
